"comp_id","ad_blocked","embed","ratio","duration","language","partner","partner_active","n_likes","views","n_tags","n_formats","dayofweek","hour"
1,FALSE,TRUE,1.77778,86,3,TRUE,FALSE,0,290,3,0,5,6
2,FALSE,TRUE,1.33333,1129,2,TRUE,FALSE,0,1443,0,2,5,6
3,FALSE,TRUE,1.76667,1163,2,TRUE,FALSE,0,329,0,1,5,6
4,FALSE,TRUE,1.77778,1326,2,TRUE,FALSE,0,63,0,3,5,6
5,FALSE,TRUE,1.77273,2612,2,TRUE,FALSE,3,37,0,0,5,6
6,FALSE,TRUE,1.77778,1073,2,TRUE,FALSE,0,65,0,2,5,6
7,FALSE,TRUE,1.77778,24,2,TRUE,FALSE,0,2233,2,3,5,6
8,FALSE,TRUE,1.77778,141,2,FALSE,FALSE,0,95,3,3,5,6
9,FALSE,TRUE,1.77778,1510,2,TRUE,FALSE,0,57,0,5,5,6
10,FALSE,TRUE,1.77778,2501,2,TRUE,FALSE,0,1035,3,1,5,6
11,FALSE,TRUE,1.77778,142,5,FALSE,FALSE,0,1406,0,0,5,6
12,FALSE,TRUE,1.77778,297,3,FALSE,FALSE,0,128,2,2,5,6
13,FALSE,TRUE,1.77778,300,2,TRUE,FALSE,0,71,4,3,5,6
14,FALSE,TRUE,1.76667,1073,2,TRUE,FALSE,0,537,0,3,5,6
15,FALSE,TRUE,1.73913,106,7,TRUE,FALSE,0,125,10,3,5,6
16,FALSE,TRUE,1.77778,48,2,FALSE,FALSE,1,1812,3,2,5,6
17,FALSE,TRUE,1.77778,2752,2,FALSE,FALSE,1,803,4,2,5,6
18,FALSE,TRUE,1.77778,146,5,FALSE,FALSE,0,80,0,2,5,6
19,FALSE,TRUE,1.77778,255,2,TRUE,FALSE,0,390,0,2,5,6
20,FALSE,TRUE,1.77778,80,2,TRUE,TRUE,0,205,5,0,5,6
21,FALSE,TRUE,1.33333,1114,2,FALSE,FALSE,0,1138,0,4,5,6
22,FALSE,TRUE,1.33333,70,7,TRUE,FALSE,0,168,10,4,5,6
23,FALSE,TRUE,1.77778,588,2,FALSE,FALSE,0,106,3,1,5,6
24,FALSE,TRUE,1.77778,109,7,TRUE,FALSE,0,136,8,5,5,6
25,FALSE,TRUE,1.77778,63,2,TRUE,TRUE,0,208,9,6,5,6
26,FALSE,TRUE,1.77778,70,2,TRUE,TRUE,0,224,10,6,5,6
27,FALSE,TRUE,1.76667,228,9,FALSE,FALSE,0,38,6,0,5,6
28,FALSE,TRUE,1.77778,26,5,FALSE,FALSE,0,534,0,4,5,6
29,FALSE,TRUE,1.76667,2816,5,TRUE,FALSE,4,349,0,2,5,5
30,FALSE,TRUE,1.73913,1104,8,TRUE,FALSE,0,37,0,3,5,5
31,FALSE,TRUE,1.73913,2338,8,TRUE,FALSE,0,36,0,3,5,5
32,FALSE,TRUE,1.33333,925,2,FALSE,FALSE,0,1266,0,1,5,5
33,FALSE,TRUE,1.77778,107,2,TRUE,FALSE,0,246,0,5,5,5
34,FALSE,TRUE,1.73913,999,8,TRUE,FALSE,0,44,0,3,5,5
35,FALSE,TRUE,1.77778,948,2,TRUE,FALSE,0,33,0,5,5,5
36,FALSE,TRUE,1.77778,2998,2,FALSE,FALSE,0,1273,1,1,5,5
37,FALSE,TRUE,1.76667,92,2,FALSE,FALSE,0,106,5,3,5,5
38,FALSE,TRUE,1.33333,54,2,TRUE,FALSE,0,31,0,3,5,5
39,FALSE,TRUE,1.33333,128,4,FALSE,FALSE,0,40,0,0,5,5
40,FALSE,TRUE,2.35294,258,2,TRUE,FALSE,0,36,7,2,5,5
41,FALSE,TRUE,1.77778,5880,5,TRUE,FALSE,2,1803,2,4,5,5
42,FALSE,TRUE,1.66667,66,2,TRUE,FALSE,0,135,10,2,5,5
43,FALSE,TRUE,1.77778,359,2,FALSE,FALSE,0,79,3,1,5,5
44,FALSE,TRUE,1.77778,647,7,TRUE,FALSE,0,123,6,3,5,5
45,FALSE,TRUE,2.35,101,2,TRUE,FALSE,0,1071,6,2,5,5
46,FALSE,TRUE,1.77778,117,2,TRUE,FALSE,0,45,7,2,5,5
47,FALSE,TRUE,1.76667,436,2,FALSE,FALSE,0,33,9,2,5,5
48,FALSE,TRUE,1.77778,109,2,FALSE,FALSE,1,48,4,2,5,4
49,FALSE,TRUE,1.77778,138,2,TRUE,FALSE,0,38,19,4,5,4
50,FALSE,TRUE,1.77778,87,2,TRUE,TRUE,0,154,9,1,5,4
51,FALSE,TRUE,1,232,2,TRUE,FALSE,0,39,1,1,5,4
52,FALSE,TRUE,1.77778,640,7,TRUE,FALSE,0,169,8,5,5,4
53,FALSE,TRUE,1.77778,246,5,FALSE,FALSE,0,1517,0,0,5,4
54,FALSE,TRUE,1.66667,405,2,TRUE,FALSE,0,3028,8,1,5,4
55,FALSE,TRUE,1.77778,83,2,TRUE,TRUE,0,262,7,2,5,4
